file_path,modifications,total_churn,total_added,total_deleted,unique_commits,first_seen,last_seen,lifespan_years,churn_density
numpy\core\src\umath\ufunc_type_resolution.c,47,3403,2822,581,47,2011-06-27 22:59:34+00:00,2017-07-27 02:02:30+00:00,6.1,557.9
numpy\f2py\cfuncs.py,47,4559,1195,3364,47,2006-01-20 21:59:32+00:00,2017-09-23 21:17:00+00:00,11.7,389.7
numpy\f2py\src\fortranobject.c,47,3770,1240,2530,47,2006-01-19 01:10:26+00:00,2017-08-28 14:38:19+00:00,11.6,325.0
numpy\lib\tests\test_shape_base.py,47,1962,888,1074,47,2006-01-04 22:37:16+00:00,2017-08-06 00:17:23+00:00,11.6,169.1
numpy\lib\tests\test_regression.py,47,640,449,191,47,2008-03-21 13:08:21+00:00,2017-08-06 00:17:23+00:00,9.4,68.1
numpy\polynomial\laguerre.py,47,3255,2527,728,47,2010-09-23 01:33:06+00:00,2017-09-12 16:30:25+00:00,7.0,465.0
numpy\core\__init__.py,46,341,170,171,46,2006-01-04 19:00:27+00:00,2017-07-04 19:47:45+00:00,11.5,29.7
numpy\lib\tests\test_arraysetops.py,46,1611,963,648,46,2006-01-09 12:09:24+00:00,2017-07-17 23:51:33+00:00,11.5,140.1
numpy\ma\mrecords.py,46,1973,1026,947,46,2007-12-15 01:48:01+00:00,2017-08-01 20:29:36+00:00,9.6,205.5
numpy\ctypeslib.py,45,1242,765,477,45,2006-08-14 21:30:52+00:00,2017-06-03 12:41:26+00:00,10.8,115.0
tools\py3tool.py,45,878,439,439,45,2009-12-06 11:56:18+00:00,2013-04-25 01:42:52+00:00,3.4,258.2
numpy\core\src\multiarray\_datetime.h,45,772,573,199,45,2009-09-16 07:08:43+00:00,2017-09-18 03:54:40+00:00,8.0,96.5
numpy\f2py\rules.py,44,5343,1384,3959,44,2006-01-04 19:00:27+00:00,2016-01-29 21:22:42+00:00,10.1,529.0
scipy\__init__.py,44,717,526,191,44,2005-09-14 23:34:12+00:00,2006-01-01 20:54:22+00:00,0.3,1434.0
numpy\_import_tools.py,43,2356,925,1431,43,2006-01-04 19:00:27+00:00,2017-06-26 13:01:15+00:00,11.5,204.9
numpy\distutils\exec_command.py,42,1817,409,1408,42,2006-01-31 22:49:15+00:00,2017-04-05 00:52:33+00:00,11.2,162.2
numpy\core\tests\test_ma.py,42,2417,463,1954,42,2006-01-04 19:00:27+00:00,2007-12-15 18:54:52+00:00,1.9,1272.1
numpy\core\src\multiarray\calculation.c,42,2083,1656,427,42,2009-04-30 08:44:45+00:00,2017-05-02 23:10:42+00:00,8.0,260.4
numpy\ma\tests\test_old_ma.py,41,3147,1567,1580,41,2007-12-15 02:43:35+00:00,2017-07-18 01:07:27+00:00,9.6,327.8
numpy\core\src\multiarray\nditer_api.c,41,3497,3150,347,41,2011-07-07 17:28:00+00:00,2017-03-26 12:17:25+00:00,5.7,613.5
numpy\lib\tests\test_polynomial.py,41,672,374,298,41,2006-01-04 19:00:27+00:00,2017-07-17 23:51:33+00:00,11.5,58.4
numpy\core\src\multiarray\new_iterator.h,41,560,366,194,41,2010-12-06 21:41:55+00:00,2011-01-07 19:48:33+00:00,0.1,1120.0
numpy\lib\tests\test_type_check.py,40,1447,701,746,40,2006-01-04 19:00:27+00:00,2017-08-06 13:53:09+00:00,11.6,124.7
numpy\polynomial\tests\test_chebyshev.py,40,1799,1205,594,40,2009-11-14 22:30:39+00:00,2017-07-29 15:25:40+00:00,7.7,233.6
scipy_base\__init__.py,40,527,256,271,40,2002-03-30 00:02:58+00:00,2004-12-03 22:41:55+00:00,2.7,195.2
numpy\core\tests\test_numerictypes.py,39,1727,731,996,39,2006-02-01 22:07:43+00:00,2017-08-01 18:14:06+00:00,11.5,150.2
numpy\core\tests\test_api.py,39,995,756,239,39,2011-03-23 21:40:03+00:00,2017-03-25 11:01:22+00:00,6.0,165.8
